scenario,policy,decision_mode,destination_policy,threshold_mode,iteration,generated,completed,delayed,offloaded,received_offloaded,completed_offloaded,proactive_trigger_events,reactive_trigger_events,completed_deadline_misses,total_waiting_tasks,queue_imbalance,max_offloads_per_event,offload_fraction,high_arrival_rate_threshold,threshold_multiplier,completion_rate,offload_rate,offload_per_delayed,deadline_miss_rate,mean_rough_score,mean_actual_execution_time
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,28,6859,466,112,637,637,72,59,8,405,6388,1471,10.0,0.4,3.0,1.2,0.06793993293483015,0.09287068085726782,5.6875,0.869098712446352,1.7818853045525902,6.402738651804671
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,29,6824,461,115,647,647,75,59,8,409,6358,1389,10.0,0.4,3.0,1.2,0.0675556858147714,0.09481242672919109,5.626086956521739,0.8872017353579176,1.7763169026275116,6.452002178111588
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,30,6894,447,114,659,659,79,62,6,392,6442,1440,10.0,0.4,3.0,1.2,0.06483899042645778,0.09559036843632143,5.780701754385965,0.8769574944071589,1.7829012063732927,6.666750900442478
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,31,6832,459,123,643,643,63,61,6,402,6368,1397,10.0,0.4,3.0,1.2,0.06718384074941453,0.094115925058548,5.227642276422764,0.8758169934640523,1.7864685520995334,6.512168021551724
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,32,6784,442,127,636,636,67,61,5,392,6337,1354,10.0,0.4,3.0,1.2,0.06515330188679246,0.09375,5.0078740157480315,0.8868778280542986,1.7796043050314465,6.7571508680089485
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,33,6670,457,133,612,612,72,58,6,400,6208,1437,10.0,0.4,3.0,1.2,0.06851574212893553,0.09175412293853073,4.601503759398496,0.87527352297593,1.7923141045751634,6.553301961038961
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,34,6882,454,110,660,660,70,62,7,397,6423,1471,10.0,0.4,3.0,1.2,0.06596919500145307,0.0959023539668701,6.0,0.8744493392070485,1.7857860863636363,6.550907738562092
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,35,6682,455,106,647,647,77,66,1,399,6222,1461,10.0,0.4,3.0,1.2,0.06809338521400778,0.09682729721640228,6.10377358490566,0.8769230769230769,1.7838828840803709,6.562172463043479
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,36,6854,444,109,662,662,82,63,5,393,6405,1423,10.0,0.4,3.0,1.2,0.06477969069156697,0.09658593522030931,6.073394495412844,0.8851351351351351,1.7916854984894262,6.707381902004454
selector_ablation_ahp_rough,AHP_ROUGH,PROACTIVE,LEAST_QUEUE,ADAPTIVE_RATE,37,6851,439,126,634,634,74,55,11,384,6407,1500,10.0,0.4,3.0,1.2,0.06407823675375858,0.09254123485622537,5.031746031746032,0.8747152619589977,1.789693260252366,6.777253797297297
